avaliacoes,geracao,custo_melhor,custo_medio,custo_pior
20876,212,3428.6803,3616.4391,5010.6490
20974,213,3428.6803,3611.5047,4908.9022
21072,214,3428.6803,3627.9015,4780.7617
21170,215,3428.6803,3586.3559,4809.1532
21268,216,3428.6803,3621.5108,4829.6089
21366,217,3428.6803,3664.5046,5011.7751
21464,218,3428.6803,3579.0512,4749.6862
21562,219,3428.6803,3605.3869,4829.6089
21660,220,3428.6803,3583.4408,5214.6401
21758,221,3428.6803,3591.1371,4908.9022
21856,222,3428.6803,3631.3208,4780.7617
21954,223,3428.6803,3627.2040,5814.9515
22052,224,3428.6803,3538.3009,4816.6974
22150,225,3428.6803,3558.0722,4650.3230
22248,226,3428.6803,3670.8276,4967.2719
22346,227,3428.6803,3612.1414,5011.7751
22444,228,3428.6803,3613.5353,5747.2627
22542,229,3428.6803,3584.4192,4654.1286
22640,230,3428.6803,3598.2351,5164.2572
22738,231,3428.6803,3600.8175,5184.1900
22836,232,3428.6803,3575.2810,4780.7617
22934,233,3428.6803,3652.3876,4829.6089
23032,234,3428.6803,3653.0152,5108.9012
23130,235,3428.6803,3568.2512,4873.6302
23228,236,3428.6803,3564.4357,4816.6974
23326,237,3428.6803,3590.0498,5011.7751
23424,238,3428.6803,3601.8710,5665.7256
23522,239,3428.6803,3551.6820,5145.1445
23620,240,3428.6803,3571.9619,5013.6367
23718,241,3428.6803,3560.9255,4967.2719
23816,242,3428.6803,3629.4678,5307.7728
23914,243,3428.6803,3561.5282,4908.9022
24012,244,3428.6803,3599.6157,4967.2719
24110,245,3428.6803,3576.8597,4823.1883
24208,246,3428.6803,3617.9137,6155.9387
24306,247,3428.6803,3532.5209,4908.9022
24404,248,3428.6803,3616.7868,4829.6089
24502,249,3428.6803,3563.1369,4809.1532
24600,250,3428.6803,3602.5966,4665.1755
24698,251,3428.6803,3592.3922,4839.6408
24796,252,3428.6803,3524.5186,5011.7751
24894,253,3428.6803,3537.8919,4730.6652
24992,254,3428.6803,3586.9163,4967.2719
25090,255,3428.6803,3652.1064,5011.7751
25188,256,3428.6803,3623.2519,5031.0808
25286,257,3428.6803,3584.5986,4658.7456
25384,258,3428.6803,3573.0005,4749.6862
25482,259,3428.6803,3619.6251,5648.3018
25580,260,3428.6803,3578.9239,4835.2232
25678,261,3428.6803,3618.1754,5226.6697
25776,262,3428.6803,3628.8165,4984.2458
25874,263,3428.6803,3554.0013,4908.9022
25972,264,3428.6803,3566.0519,4727.5115
26070,265,3428.6803,3598.4672,5368.9810
26168,266,3428.6803,3546.8291,4816.6974
