avaliacoes,iteracao,temperatura
344101,344000,252.348
344601,344500,252.348
345101,345000,252.348
345601,345500,252.348
346101,346000,252.348
346601,346500,252.348
347101,347000,252.348
347601,347500,252.348
348101,348000,252.348
348601,348500,252.348
349101,349000,252.348
349601,349500,252.348
350101,350000,239.731
350601,350500,239.731
351101,351000,239.731
351601,351500,239.731
352101,352000,239.731
352601,352500,239.731
353101,353000,239.731
353601,353500,239.731
354101,354000,239.731
354601,354500,239.731
355101,355000,239.731
355601,355500,239.731
356101,356000,239.731
356601,356500,239.731
357101,357000,239.731
357601,357500,239.731
358101,358000,239.731
358601,358500,239.731
359101,359000,239.731
359601,359500,239.731
360101,360000,227.744
360601,360500,227.744
361101,361000,227.744
361601,361500,227.744
362101,362000,227.744
362601,362500,227.744
363101,363000,227.744
363601,363500,227.744
364101,364000,227.744
364601,364500,227.744
365101,365000,227.744
365601,365500,227.744
366101,366000,227.744
366601,366500,227.744
367101,367000,227.744
367601,367500,227.744
368101,368000,227.744
368601,368500,227.744
369101,369000,227.744
369601,369500,227.744
370101,370000,216.357
370601,370500,216.357
371101,371000,216.357
371601,371500,216.357
372101,372000,216.357
372601,372500,216.357
373101,373000,216.357
373601,373500,216.357
374101,374000,216.357
374601,374500,216.357
375101,375000,216.357
375601,375500,216.357
376101,376000,216.357
376601,376500,216.357
377101,377000,216.357
377601,377500,216.357
378101,378000,216.357
378601,378500,216.357
379101,379000,216.357
379601,379500,216.357
380101,380000,205.539
380601,380500,205.539
381101,381000,205.539
381601,381500,205.539
382101,382000,205.539
382601,382500,205.539
383101,383000,205.539
383601,383500,205.539
384101,384000,205.539
384601,384500,205.539
385101,385000,205.539
385601,385500,205.539
386101,386000,205.539
386601,386500,205.539
387101,387000,205.539
387601,387500,205.539
388101,388000,205.539
388601,388500,205.539
389101,389000,205.539
389601,389500,205.539
390101,390000,195.262
390601,390500,195.262
391101,391000,195.262
391601,391500,195.262
392101,392000,195.262
392601,392500,195.262
393101,393000,195.262
393601,393500,195.262
394101,394000,195.262
394601,394500,195.262
395101,395000,195.262
395601,395500,195.262
396101,396000,195.262
396601,396500,195.262
397101,397000,195.262
397601,397500,195.262
398101,398000,195.262
398601,398500,195.262
399101,399000,195.262
399601,399500,195.262
400101,400000,185.499
400601,400500,185.499
401101,401000,185.499
401601,401500,185.499
402101,402000,185.499
402601,402500,185.499
403101,403000,185.499
403601,403500,185.499
404101,404000,185.499
404601,404500,185.499
405101,405000,185.499
405601,405500,185.499
406101,406000,185.499
406601,406500,185.499
407101,407000,185.499
407601,407500,185.499
408101,408000,185.499
408601,408500,185.499
409101,409000,185.499
409601,409500,185.499
410101,410000,176.224
410601,410500,176.224
411101,411000,176.224
411601,411500,176.224
412101,412000,176.224
412601,412500,176.224
413101,413000,176.224
413601,413500,176.224
414101,414000,176.224
414601,414500,176.224
415101,415000,176.224
415601,415500,176.224
416101,416000,176.224
416601,416500,176.224
417101,417000,176.224
417601,417500,176.224
418101,418000,176.224
418601,418500,176.224
419101,419000,176.224
419601,419500,176.224
420101,420000,167.413
420601,420500,167.413
421101,421000,167.413
421601,421500,167.413
422101,422000,167.413
422601,422500,167.413
423101,423000,167.413
423601,423500,167.413
424101,424000,167.413
424601,424500,167.413
425101,425000,167.413
425601,425500,167.413
426101,426000,167.413
426601,426500,167.413
427101,427000,167.413
427601,427500,167.413
428101,428000,167.413
428601,428500,167.413
429101,429000,167.413
429601,429500,167.413
430101,430000,159.042
430601,430500,159.042
431101,431000,159.042
431601,431500,159.042
432101,432000,159.042
432601,432500,159.042
433101,433000,159.042
433601,433500,159.042
434101,434000,159.042
434601,434500,159.042
435101,435000,159.042
435601,435500,159.042
436101,436000,159.042
436601,436500,159.042
437101,437000,159.042
437601,437500,159.042
438101,438000,159.042
438601,438500,159.042
439101,439000,159.042
439601,439500,159.042
440101,440000,151.09
440601,440500,151.09
441101,441000,151.09
441601,441500,151.09
442101,442000,151.09
442601,442500,151.09
443101,443000,151.09
443601,443500,151.09
444101,444000,151.09
444601,444500,151.09
445101,445000,151.09
445601,445500,151.09
446101,446000,151.09
446601,446500,151.09
447101,447000,151.09
447601,447500,151.09
448101,448000,151.09
448601,448500,151.09
449101,449000,151.09
449601,449500,151.09
450101,450000,143.536
450601,450500,143.536
451101,451000,143.536
451601,451500,143.536
452101,452000,143.536
452601,452500,143.536
453101,453000,143.536
453601,453500,143.536
454101,454000,143.536
454601,454500,143.536
455101,455000,143.536
455601,455500,143.536
456101,456000,143.536
456601,456500,143.536
457101,457000,143.536
457601,457500,143.536
458101,458000,143.536
458601,458500,143.536
459101,459000,143.536
459601,459500,143.536
460101,460000,136.359
460601,460500,136.359
461101,461000,136.359
461601,461500,136.359
462101,462000,136.359
462601,462500,136.359
463101,463000,136.359
463601,463500,136.359
464101,464000,136.359
464601,464500,136.359
465101,465000,136.359
465601,465500,136.359
466101,466000,136.359
466601,466500,136.359
467101,467000,136.359
467601,467500,136.359
468101,468000,136.359
468601,468500,136.359
469101,469000,136.359
469601,469500,136.359
470101,470000,129.541
470601,470500,129.541
471101,471000,129.541
471601,471500,129.541
472101,472000,129.541
472601,472500,129.541
473101,473000,129.541
473601,473500,129.541
474101,474000,129.541
474601,474500,129.541
475101,475000,129.541
475601,475500,129.541
476101,476000,129.541
476601,476500,129.541
477101,477000,129.541
477601,477500,129.541
478101,478000,129.541
478601,478500,129.541
479101,479000,129.541
479601,479500,129.541
480101,480000,123.064
480601,480500,123.064
481101,481000,123.064
481601,481500,123.064
482101,482000,123.064
482601,482500,123.064
483101,483000,123.064
483601,483500,123.064
484101,484000,123.064
484601,484500,123.064
485101,485000,123.064
485601,485500,123.064
486101,486000,123.064
486601,486500,123.064
487101,487000,123.064
487601,487500,123.064
488101,488000,123.064
488601,488500,123.064
489101,489000,123.064
489601,489500,123.064
490101,490000,116.911
490601,490500,116.911
491101,491000,116.911
491601,491500,116.911
492101,492000,116.911
492601,492500,116.911
493101,493000,116.911
493601,493500,116.911
494101,494000,116.911
494601,494500,116.911
495101,495000,116.911
495601,495500,116.911
496101,496000,116.911
496601,496500,116.911
497101,497000,116.911
497601,497500,116.911
498101,498000,116.911
498601,498500,116.911
499101,499000,116.911
499601,499500,116.911
500101,500000,111.065
500601,500500,111.065
501101,501000,111.065
501601,501500,111.065
502101,502000,111.065
502601,502500,111.065
503101,503000,111.065
503601,503500,111.065
504101,504000,111.065
504601,504500,111.065
505101,505000,111.065
505601,505500,111.065
506101,506000,111.065
506601,506500,111.065
507101,507000,111.065
507601,507500,111.065
508101,508000,111.065
508601,508500,111.065
509101,509000,111.065
509601,509500,111.065
510101,510000,105.512
510601,510500,105.512
511101,511000,105.512
511601,511500,105.512
512101,512000,105.512
512601,512500,105.512
513101,513000,105.512
513601,513500,105.512
514101,514000,105.512
514601,514500,105.512
515101,515000,105.512
515601,515500,105.512
516101,516000,105.512
516601,516500,105.512
517101,517000,105.512
517601,517500,105.512
518101,518000,105.512
518601,518500,105.512
519101,519000,105.512
519601,519500,105.512
520101,520000,100.236
520601,520500,100.236
521101,521000,100.236
521601,521500,100.236
522101,522000,100.236
522601,522500,100.236
523101,523000,100.236
523601,523500,100.236
524101,524000,100.236
524601,524500,100.236
525101,525000,100.236
525601,525500,100.236
526101,526000,100.236
526601,526500,100.236
527101,527000,100.236
527601,527500,100.236
528101,528000,100.236
528601,528500,100.236
529101,529000,100.236
529601,529500,100.236
530101,530000,95.2244
530601,530500,95.2244
531101,531000,95.2244
531601,531500,95.2244
532101,532000,95.2244
532601,532500,95.2244
533101,533000,95.2244
533601,533500,95.2244
534101,534000,95.2244
534601,534500,95.2244
535101,535000,95.2244
535601,535500,95.2244
536101,536000,95.2244
536601,536500,95.2244
537101,537000,95.2244
537601,537500,95.2244
538101,538000,95.2244
538601,538500,95.2244
539101,539000,95.2244
539601,539500,95.2244
540101,540000,90.4632
540601,540500,90.4632
541101,541000,90.4632
541601,541500,90.4632
542101,542000,90.4632
542601,542500,90.4632
543101,543000,90.4632
543601,543500,90.4632
544101,544000,90.4632
544601,544500,90.4632
545101,545000,90.4632
545601,545500,90.4632
546101,546000,90.4632
546601,546500,90.4632
547101,547000,90.4632
547601,547500,90.4632
548101,548000,90.4632
548601,548500,90.4632
549101,549000,90.4632
549601,549500,90.4632
550101,550000,85.94
550601,550500,85.94
551101,551000,85.94
551601,551500,85.94
552101,552000,85.94
552601,552500,85.94
553101,553000,85.94
553601,553500,85.94
554101,554000,85.94
554601,554500,85.94
555101,555000,85.94
555601,555500,85.94
556101,556000,85.94
556601,556500,85.94
557101,557000,85.94
557601,557500,85.94
558101,558000,85.94
558601,558500,85.94
559101,559000,85.94
559601,559500,85.94
560101,560000,81.643
560601,560500,81.643
561101,561000,81.643
561601,561500,81.643
562101,562000,81.643
562601,562500,81.643
563101,563000,81.643
563601,563500,81.643
564101,564000,81.643
564601,564500,81.643
565101,565000,81.643
565601,565500,81.643
566101,566000,81.643
566601,566500,81.643
567101,567000,81.643
567601,567500,81.643
568101,568000,81.643
568601,568500,81.643
569101,569000,81.643
569601,569500,81.643
570101,570000,77.5609
570601,570500,77.5609
571101,571000,77.5609
571601,571500,77.5609
572101,572000,77.5609
572601,572500,77.5609
573101,573000,77.5609
573601,573500,77.5609
574101,574000,77.5609
574601,574500,77.5609
575101,575000,77.5609
575601,575500,77.5609
576101,576000,77.5609
576601,576500,77.5609
577101,577000,77.5609
577601,577500,77.5609
578101,578000,77.5609
578601,578500,77.5609
579101,579000,77.5609
579601,579500,77.5609
580101,580000,73.6828
580601,580500,73.6828
581101,581000,73.6828
581601,581500,73.6828
582101,582000,73.6828
582601,582500,73.6828
583101,583000,73.6828
583601,583500,73.6828
584101,584000,73.6828
584601,584500,73.6828
585101,585000,73.6828
585601,585500,73.6828
586101,586000,73.6828
586601,586500,73.6828
587101,587000,73.6828
587601,587500,73.6828
588101,588000,73.6828
588601,588500,73.6828
589101,589000,73.6828
589601,589500,73.6828
590101,590000,69.9987
590601,590500,69.9987
591101,591000,69.9987
591601,591500,69.9987
592101,592000,69.9987
592601,592500,69.9987
593101,593000,69.9987
593601,593500,69.9987
594101,594000,69.9987
594601,594500,69.9987
595101,595000,69.9987
595601,595500,69.9987
596101,596000,69.9987
596601,596500,69.9987
597101,597000,69.9987
597601,597500,69.9987
598101,598000,69.9987
598601,598500,69.9987
599101,599000,69.9987
